sentiment,tweet_id,date,text,year,month,day_of_week,hour
1,2059166859,2009-06-06 16:22:56,Just had a yummy dinner- now watching the sunset on the beach ,2009,6,5,16
1,1976765074,2009-05-30 19:00:18,http://tinyurl.com/ry9wap Hi. Hope it is real to find a good man with internet   Check my pictures! It seems you are a nice man... I c ...,2009,5,5,19
0,2006643519,2009-06-02 11:28:13,@eskemoiain sdk needs 10.5+ and I've only managed 10.4.8  at this rate I'm gonna have to buy a iMac ;-),2009,6,1,11
0,2246798441,2009-06-19 18:08:25,this is just very very sad  http://bit.ly/3sCZMK,2009,6,4,18
1,1977354293,2009-05-30 20:47:12,@justinngaston youu are a hoee ,2009,5,5,20
0,1882791698,2009-05-22 07:29:37,"Blah, I hate coming back to the office to see a FedEx or UPS missed delivery notification. Can't they just leave it? ",2009,5,4,7
0,2263017684,2009-06-20 23:45:35,@MGiraudOfficial Well if you have Kris right there tell him we said Hello and hope he had a wonderful Birthday!! And sorry no I don't ,2009,6,5,23
0,1991360395,2009-06-01 06:53:53,AAAAHHHHHHHHH! Tmr they having some sort of Sims gathering at Iluma. If only I could go. ,2009,6,0,6
0,2213759301,2009-06-17 15:48:26,i cant get to sleep with this itchy toe ,2009,6,2,15
1,1984466663,2009-05-31 15:09:47,@alipaigereyn whats wrong with bebeto ? I hope he is okay .. and I will be seeing you next saturdayy on the beachh !! ,2009,5,6,15
1,2174375082,2009-06-14 22:25:19,learning how to sing Dalamnya Kasihmu in Bahasa Indonesia... Its so cool! ,2009,6,6,22
0,2185958892,2009-06-15 18:09:12,@gunmar I'm afraid to drive. ,2009,6,0,18
0,2068944926,2009-06-07 14:59:19,@CaiGriffiths holidays lucky you off anywhere nice? Mine aren't til August  shall add your mate now too,2009,6,6,14
0,1882886333,2009-05-22 07:39:12,Have just cancelled the premiere of Dark Glass  It just wasn't going well. Maybe heading for recycling! 'Benllech Shells' instead then!,2009,5,4,7
0,2039795392,2009-06-04 22:49:40,some how i broke my shift key ,2009,6,3,22
0,2177664699,2009-06-15 06:29:54,i just woke up and now i got to go to school!!! wah! ,2009,6,0,6
0,1972844508,2009-05-30 09:59:48,@JamieJermaine i missed it ,2009,5,5,9
1,2182628466,2009-06-15 13:25:27,@yehudaberg perfect reminder for the day!  ,2009,6,0,13
0,2187637537,2009-06-15 20:34:40,Just found my sugar glider dead in its cage.  She was seven years old.,2009,6,0,20
0,2196124483,2009-06-16 12:03:31,Dear Stomache: Why are you so upset w/me? I have done nothing to you today ,2009,6,1,12
0,2197309390,2009-06-16 13:36:59,Trying to learn for my Testweek.. The weather is to good to stay at home and learn ,2009,6,1,13
0,2326108055,2009-06-25 06:33:46,My bike's tire died today... a sad day for bikes everywhere... also I found that AMS tram has increased price in almost 80%! Nice ,2009,6,3,6
1,2175491855,2009-06-15 01:08:16,south swells were awesome today!  the surfing was immense for the south side!  ,2009,6,0,1
1,2016641319,2009-06-03 07:07:15,Morning. I'm out. I'll take lots of pictures. @kayleenduhh And I'll send you the zebra named Micahel ,2009,6,2,7
0,2224862198,2009-06-18 10:01:27,"Rain, rain, go away!!! ",2009,6,3,10
0,1881272399,2009-05-22 04:09:50,@shermaineee ME TOO  !! ugh but no choice. I had my fair share of afternoon classes and squeezing into peak hour trains. H8 H8 H8,2009,5,4,4
0,2196024841,2009-06-16 11:55:33,Again and again and again ... I forget to take medicine ,2009,6,1,11
1,2067568823,2009-06-07 12:34:35,"Lunch with T, a few errands, and then I need to make a date with a snake. ",2009,6,6,12
0,1989671880,2009-06-01 02:23:29,"Goood, I don't want to agree with the Danish People Party ",2009,6,0,2
1,1469475207,2009-04-07 06:29:46,@Celticgirl1913  sounds good ,2009,4,1,6
0,1997060007,2009-06-01 16:10:53,Twitter isn't working on my phone. ,2009,6,0,16
0,1882206313,2009-05-22 06:26:24,"@emma2381 what is it with these companies only giving half an hour for lunch !!!!! WTF.  Past tense, so we not friends anymore ? ? ",2009,5,4,6
0,2220591117,2009-06-18 03:28:39,@One_StepCloser  why did she not reply to me..? umm well rehm can explain to you tomorrow,2009,6,3,3
0,2201920938,2009-06-16 20:58:17,"@chronicsunchild no its nots bad. if you like cassie... you do lol i like some of her past work, i just dont think any of it is solid ",2009,6,1,20
1,1559069628,2009-04-19 10:10:30,Just getting up. Making lobster ravioli w/alfredo sauce. Breakfast of champions ,2009,4,6,10
0,2260645618,2009-06-20 19:33:07,My feet gone be swollen in da morning! Ugh! ,2009,6,5,19
1,1573529536,2009-04-21 01:36:10,"Hmmmm, two exams taken, two to go ",2009,4,1,1
0,2217709459,2009-06-17 21:15:50,@JellieBraden damn  i was hoping to have a good-looking neighbor,2009,6,2,21
0,2214954530,2009-06-17 17:28:08,@alanjlee bit misleading if that is indeed what is happening....did google around before installing and the only mention was march expire ,2009,6,2,17
0,1881201536,2009-05-22 03:56:19,@skyejaden but we never know with a)Dina and b)WTA. ,2009,5,4,3
1,2001301547,2009-06-02 00:26:47,@_juliette yeah  it's great!! love it so much!,2009,6,1,0
0,2214275627,2009-06-17 16:30:46,"No twitter for weeks  sacralige, more dreadful is my hair  dam I need my hairdresser bad, being broke sucks more",2009,6,2,16
0,1691259850,2009-05-03 17:27:46,stuck inside crunching the numbers while it s gorgeous sunny autumn day outside ,2009,5,6,17
0,1835818293,2009-05-18 06:48:53,@awollenberg is not a good day for pets  Hope you're OK,2009,5,0,6
1,1984055498,2009-05-31 14:21:15,@DeborahGabay I love you too! sorry bout work:/ muah! feel better? lol ,2009,5,6,14
0,2258880772,2009-06-20 16:39:05,tap water is oh so icky..  &gt;&gt; playing my wii :B,2009,6,5,16
1,1992146107,2009-06-01 08:16:41,"@Helpspooky and @ionaaaa thanks for the luck! I've doen it now and I'm finished! Woo, good luck with history tomorrow you two!  x",2009,6,0,8
1,1971468177,2009-05-30 07:10:58,@Orchidflower That is a fab colour... will definitely give one a go I think.... ,2009,5,5,7
0,1971951916,2009-05-30 08:14:52,@familiarface email me some of those video. I'm stuck in bed for the next few days ,2009,5,5,8
0,2237362631,2009-06-19 05:40:13,@PUNK3R3LLA yea... but we dont have a nutha prac session  o wellz,2009,6,4,5
1,1986594378,2009-05-31 19:03:01,Watching the MTV movie awards!!!!!!!  omg its badass,2009,5,6,19
1,1970338894,2009-05-30 03:27:31,Totally loving the weather ,2009,5,5,3
1,2067880658,2009-06-07 13:07:10,@WOAHAmber  yeah i do,2009,6,6,13
0,2245662202,2009-06-19 16:27:27,@JesseMcCartney I wanna talk to you ,2009,6,4,16
0,2068494805,2009-06-07 14:10:40,"i'm kinda mad at myself turned down summer jam tickets last night and i sooooo shouldn't have, @beezobabii is on a hunt o mannn  lol",2009,6,6,14
0,2202379192,2009-06-16 21:41:47,"everything will be fine . sorry,baby ",2009,6,1,21
0,2236396655,2009-06-19 03:36:11,@ericharlan Bummer!  You and I are speaking at the same time at #spsclt   I had wanted to attend your session!,2009,6,4,3
1,1971497789,2009-05-30 07:15:00,@SouthernBets Hey hun morning is starting in the US it seems  XX,2009,5,5,7
1,1961720766,2009-05-29 09:56:33,"@InviteArtist: Also, @NikkiPilkington wrote an AWESOME article about how to post REAL FollowFriday recommendations! - http://is.gd/J8KW ",2009,5,4,9
1,1981836214,2009-05-31 09:59:36,actually feeling good! despite of the news i hearddd!!!  i'm happy for himmm and as long as we're still close....i'm GOOD!,2009,5,6,9
0,2249393008,2009-06-19 22:14:42,"Kids R still awake! How did that happen? They used to go to sleep @ 7, &amp; summer didn't matter!  So, now I must go to bed so they'll sleep.",2009,6,4,22
1,1823765315,2009-05-16 22:55:04,@Stella_E isn't @jackgraycnn fabulous!! I have a crush on his tweets  they give me the giggles regularly ,2009,5,5,22
0,1823121207,2009-05-16 21:09:58,"@mariechow Im in the bathroom  i just can't be seen right now....my mood is down to the floor, i'll be fine....",2009,5,5,21
0,2178828512,2009-06-15 08:15:45,"@radioactive_ Yes it was great! It was the central london one, I didn't get to touch/speak to them or get them to sign LVATT  thank you! x",2009,6,0,8
0,2059211694,2009-06-06 16:28:26,"Not too happy with my shooting lately, lack of time might be a probable cause ",2009,6,5,16
0,2194334522,2009-06-16 09:39:23,how come all my replies arent coming in ,2009,6,1,9
1,1770808541,2009-05-11 22:18:19,im done reading angels &amp; demons and im so excited to watch the movie. ,2009,5,0,22
1,1991644586,2009-06-01 07:24:43,Omg! Fuck yeah! Bio teacher isn't here which means no presenting! ,2009,6,0,7
1,2187065844,2009-06-15 19:44:26,@etherius I've got an eviler laugh ,2009,6,0,19
0,2265483173,2009-06-21 06:40:54,Just got back from Sydney - waiting for my beautiful wife to return home ,2009,6,6,6
1,1978618583,2009-05-30 23:55:23,"@ddlovato bride wars isn't embarassing! we're girls, we're allowed to watch chick flicks,cry, and wish to get married at the plaza hotel! ",2009,5,5,23
0,2223222670,2009-06-18 08:00:24,@gfalcone601 i want a cat like Marvin  but my papa is allergic :| And it just wont be the same if i shaved it  xxxxxx,2009,6,3,8
0,2052237400,2009-06-06 00:04:40,"Disgrace was a great film but #sff = long Qs (bad organisation) this year  Then: icebergs laps. Now: Mint supper,  Belvoir Whore, party",2009,6,5,0
1,2052950051,2009-06-06 02:40:17,@annegomez16 why is everyone mad at LA?? hahahaha ,2009,6,5,2
0,1881725848,2009-05-22 05:24:43,Today is going rapidly downhill. My head is killing me ,2009,5,4,5
0,1986351293,2009-05-31 18:42:50,@emmylucille Welcome! I'm kind of bad about tweeting though  Miss You!!,2009,5,6,18
0,2188362530,2009-06-15 21:45:37,"#bozeman if anybody comes across a diamond tennis bracelet, ruby tennis bracelet, emerald ring or 8 ct tanz ring - DM me!  I miss my gems ",2009,6,0,21
0,2328325789,2009-06-25 09:26:40,@preaChdotcom No  ... you basically just told me im gonna DIE!,2009,6,3,9
0,2244264440,2009-06-19 14:31:10,This is the longest 9 hours of my lifee ! ,2009,6,4,14
1,1998371955,2009-06-01 18:26:25,Have you done the Chocolate Dance today?  -Nesquik Bunny,2009,6,0,18
0,1966279015,2009-05-29 17:28:09,Ok im good again . Headed home i look like a wet dog ,2009,5,4,17
1,1976467829,2009-05-30 17:24:04,downtown wking the event for Ink... Come downt to J street and see me! ,2009,5,5,17
1,1992521702,2009-06-01 08:53:21,@xDinna RIP means Rest In Peace   x,2009,6,0,8
0,2228238665,2009-06-18 14:11:26,"@ShaddixXx pretty good, had to do the dishes when i got up tho  i didn't fall asleep til like 6am cuz it was storming.",2009,6,3,14
1,1695441778,2009-05-04 06:08:46,@AllanCavanagh I'd move into a mudhut if I could. But none of the other crap. I just like the mudhut ,2009,5,0,6
1,2191579780,2009-06-16 05:34:05,"@thecraigmorris Yes, Welles is awesome, a genius.  I like Johnny Vegas too, but don't want to look like him ",2009,6,1,5
0,2052030069,2009-06-05 23:27:27,@mikechoi I didn't get it. Don't you have my e-mail? Or do you just not care about me? ,2009,6,4,23
0,2298542653,2009-06-23 11:48:30,@iworkinprogress  BRRRRRRR. How's the sickness? Feeling better?,2009,6,1,11
0,1989084683,2009-06-01 00:17:43,@Kalvinmusic I wish it was that simple! But its not! ,2009,6,0,0
1,1969428672,2009-05-30 00:00:36,@ sweetgirl7808 Good morning!!! ,2009,5,5,0
0,1557228054,2009-04-19 02:46:56,gahh i hate homework !!! ,2009,4,6,2
1,2016440038,2009-06-03 06:46:51,@Hodinkee That is too cool for words that you went to the NY one! Awesome that you got Mr Rushdie to show you his  ,2009,6,2,6
1,2067626757,2009-06-07 12:40:38,@joanl hope u had a good day ,2009,6,6,12
0,2244315962,2009-06-19 14:35:11,I really wish I could get the Pangea Patrol set on #packrat on MOO stickers - I seriously miss the 128px artwork  @iconmaster @SanLei ??,2009,6,4,14
0,2067175068,2009-06-07 11:53:02,@kriistiix he didn't answer me either. No big. He was having a rough time ,2009,6,6,11
0,2206638310,2009-06-17 06:50:36,My poor little ankle. It might need surgery! ,2009,6,2,6
1,1692922949,2009-05-03 21:06:34,"@richiban aww yeah filly prideness! haha it was funny! man at uni now, NOT STUDYING.. you tube stalking  hows you?",2009,5,6,21
0,2192593081,2009-06-16 07:15:59,I'm too scared to tell my boss I need to leave! Gonna bite the bullett and do it now! ,2009,6,1,7
1,1994191189,2009-06-01 11:33:17,going for a walk with Aaron and Bailey! ,2009,6,0,11
1,2176592112,2009-06-15 04:16:29,@stephenartus We've been waiting with baited breath for your insightful tweets...welcome back to us...! ,2009,6,0,4
1,2192290492,2009-06-16 06:48:40,@31B4 haha that is what twitter does!!  i bet by now its on though!,2009,6,1,6
1,2070090432,2009-06-07 17:04:43,"i also got a dvd, clothes etc. ",2009,6,6,17
1,2185488802,2009-06-15 17:27:30,@OfficialJagexBR Eu gostei ,2009,6,0,17
1,2181598661,2009-06-15 12:02:45,"yanks tickets, &amp; only 1 1/2 more work days is making Dana a very happy girl ",2009,6,0,12
1,2174749623,2009-06-14 23:13:42,Kobe Bryant: the boy gets his vitamins. the boy DEFINITELY gets his vitamins! ,2009,6,6,23
1,1980828816,2009-05-31 07:46:41,Doing nothing...  shall sleep soon...,2009,5,6,7
1,2014408667,2009-06-03 01:25:58,@sheSays banyaknyer sms from hubby   within a span of how long tu?? :p,2009,6,2,1
1,1695375082,2009-05-04 05:58:46,"@Decordiva Yep, getting some material together for my 1st USA pitch to realtors. Haven't quite worked out the angle yet, but it'll come ",2009,5,0,5
0,2054257210,2009-06-06 06:56:49,last night was goooood! despite being tired and walking back in the rain. not fun saying goodbye ,2009,6,5,6
0,2298751614,2009-06-23 12:04:07,izzie is so sad now ,2009,6,1,12
1,1976045336,2009-05-30 16:28:07,@enviofriend definitely a positive!  light &amp; love on the way .. true realisation of who we are ,2009,5,5,16
0,2212072327,2009-06-17 13:38:24,"@ibetika I think I'm going to leave on Sat., since I wouldn't get another chance to leave until Tuesday b/c of the AirTran blackout dates ",2009,6,2,13
1,2069809418,2009-06-07 16:34:02,@JustRelli yess your my apple buddy now  tell me apple juice is ur fav too lol,2009,6,6,16
0,2248985212,2009-06-19 21:31:14,@Ryoma_Echizen I'm sure the knife will melt before her and then....(I dont wanna say it) ,2009,6,4,21
0,1793954393,2009-05-14 04:31:29,@khristopherr  you can't leave Twitter!,2009,5,3,4
1,2019011397,2009-06-03 10:51:43,"On the bus to eat Chipotleeeee with Dianaaaa!! More door knockers too, I love those thingsss ",2009,6,2,10
1,2181949592,2009-06-15 12:31:03,@clothbot lol well wish it was a limitation but I'm using the pro version right now  Also strugling with small components.,2009,6,0,12
0,1685947641,2009-05-03 02:56:11,"I hate my iPod Touch. So addictive. Getting me in trouble with my parents. Shit, half-yearlys are coming up.. need to put in effort! ",2009,5,6,2
0,2265364495,2009-06-21 06:25:09,also.. i'm really angry at myself for not going boating. i won't have any other time to clean though  poooop.,2009,6,6,6
0,2199453534,2009-06-16 17:31:24,home watching my roommate pack for ATL! ughhh i wish i could go! ,2009,6,1,17
0,1968841689,2009-05-29 22:21:01,@suchducks you have many more followers than I ,2009,5,4,22
0,1556542843,2009-04-18 23:15:30,@sstanich i know  &amp; now my expectations are so high 4 some awesome food right now but i know im going 2 end up with grilledcheese tongiht,2009,4,5,23
1,1559772908,2009-04-19 12:00:43,haha back! we walked to walgreens and got some rootbeer! ,2009,4,6,12
1,1834669458,2009-05-18 03:48:08,there's a cat at the bus stop that looks like garfie  I think its the cat who comes by my window and has a staring contest with garfie hah,2009,5,0,3
1,1834106317,2009-05-18 01:39:08,Perth Sexpo on this weekend  Bring it on!!,2009,5,0,1
0,2055461469,2009-06-06 09:21:33,Hmm...I'm bored already this weekend... ,2009,6,5,9
0,1983219518,2009-05-31 12:44:11,I suck at MGO ,2009,5,6,12
0,2263275277,2009-06-21 00:23:18,@rathoggie @LeMonjat tho Im like LeM &amp; my nose twitches Theres a lot of money still getting made on these Scams &amp; theyre getting better ,2009,6,6,0
1,1971558604,2009-05-30 07:22:47,"Coffee, birds and river. Great morning ",2009,5,5,7
1,2181847179,2009-06-15 12:22:42,@tylerchau omg that was brendan sorrry hes an inconsiderate asshole ,2009,6,0,12
1,1792191462,2009-05-13 22:24:20,"Cubs Won, Braves Won, Great day ",2009,5,2,22
1,1967921982,2009-05-29 20:27:08,preparing to go out with sophia. listening to &quot;the climb&quot; by mileycyrus. ,2009,5,4,20
1,2018257624,2009-06-03 09:41:03,@berniebubbles im an adult now  im allowed to swear ),2009,6,2,9
0,1932269525,2009-05-26 21:08:30,F you Lee  @aigray,2009,5,1,21
0,2246697258,2009-06-19 17:59:31,"@thebandit718 hurry up and get home, they gonna close the laundry ",2009,6,4,17
1,1969366215,2009-05-29 23:48:43,@sai_ dominican?baseball?... Lmao no I dont but I can probably still kick your ass! ,2009,5,4,23
1,2169480877,2009-06-14 14:34:27,"I have a stye, a cold saw and a spot on my nose, great ",2009,6,6,14
0,1990944276,2009-06-01 06:05:07,not me? ,2009,6,0,6
1,1880672555,2009-05-22 02:04:54,"Must sleep at least a few hours, up at 7.   Will be back to work tomorrow, 1p PST",2009,5,4,2
1,1990445556,2009-06-01 04:53:31,Made it to edinburgh  now on my way to england ,2009,6,0,4
0,1970931886,2009-05-30 05:42:04,Me and my best mate had a fight about me moving. It sucked ,2009,5,5,5
1,2033315575,2009-06-04 12:31:50,summersummersummersummer ,2009,6,3,12
0,2256979879,2009-06-20 13:36:16,"@Avedaggio I am very, very, *very* sorry.  Also, wish I'd known that back when I got attacked by Snake-Bite Kitten in Oregon.",2009,6,5,13
1,1971099166,2009-05-30 06:12:39,wishes everyone a great day  ,2009,5,5,6
1,1759816217,2009-05-10 20:01:43,writing a book! No like seriously I'm going to write a book! Like right now! Sorry Erin I took out the is for this one! ,2009,5,6,20
1,2184599899,2009-06-15 16:08:42,@pacneil just preparing for the eventual &quot;where did my laptop go?&quot; ,2009,6,0,16
0,2213533871,2009-06-17 15:30:11,@FuckChrisElley hey i stay outta trouble ,2009,6,2,15
1,2065345724,2009-06-07 08:24:19,so lina and i are chatting... she has 2 assignments i have 1.. due last week  anyone else see a problem?,2009,6,6,8
1,1999002323,2009-06-01 19:28:44,@poodlez do you like them BBQ'd? That changes the texture (&amp; sugar levels  ),2009,6,0,19
1,2063882365,2009-06-07 04:26:42,Using the laptop and listening to Radio One ,2009,6,6,4
1,1958066390,2009-05-29 02:32:42,@eymans HI EMMMANNN! Nice nice you're trying twitter   Gawa mo? XD,2009,5,4,2
0,2216952301,2009-06-17 20:11:26,wants to watch SYTYCD already...but Hawaii still needs to wait 2 more hours ,2009,6,2,20
0,2252296505,2009-06-20 05:56:52,"What a great start to my last weekend of relative freedom for a while. Sorry, just feeling like I've hit a low  ",2009,6,5,5
1,2177386571,2009-06-15 06:00:56,@francbautista wow. love that show too. ,2009,6,0,6
1,1955926425,2009-05-28 20:52:06,Sitting here bored. It's Kaitlyn by the way  Hopefully Danielle will come over sometime this week and we'll make more vids.  hehe.,2009,5,3,20
1,1986498141,2009-05-31 18:55:07,"@SweetAmes - Well, that's true - but he could just turn off the mobile alerts. ",2009,5,6,18
0,1553394140,2009-04-18 14:08:58,damn i wish i'm there   #asot400,2009,4,5,14
0,2216755837,2009-06-17 19:55:33,@leslerrrs93 It was just a bad day xD I'm sorry you didn't get to hang out ,2009,6,2,19
0,1678148015,2009-05-02 05:41:31,suffering from travel vaccs and listening to delicate sounds of tree pulping... ,2009,5,5,5
1,2052415797,2009-06-06 00:39:20,@foxybacon I've now set it up so your tweets get sent to my phone. Bring on the updates ,2009,6,5,0
0,2328887069,2009-06-25 10:06:09,Farrah Faucet died.  so sad. She was a strong woman,2009,6,3,10
1,2066698531,2009-06-07 11:00:33,@madasnirp call me i want to hear about it! ,2009,6,6,11
0,2247419952,2009-06-19 19:04:14,man my stomach is starting to hurt ,2009,6,4,19
0,1997512970,2009-06-01 16:59:01,@bookwhore Dude...one night I think I tried every male euphemism and STILL didn't get any nekkid men. ,2009,6,0,16
0,2047999324,2009-06-05 14:30:22,stress.....gotta love it. ,2009,6,4,14
1,1995255133,2009-06-01 13:11:52,@referencement buzzzzz ,2009,6,0,13
0,2259649985,2009-06-20 17:56:19,@twilight85jonas I DONT WANT NICK TO GO ,2009,6,5,17
1,2002513687,2009-06-02 04:25:59,@retweet_central Hooters Manila spot the mellons http://bit.ly/mbTPd,2009,6,1,4
1,2052447497,2009-06-06 00:45:41,@miss808 Cool! Have fun! ,2009,6,5,0
0,1956995196,2009-05-28 23:13:43,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,2009,5,3,23
1,1468515049,2009-04-07 02:08:27,after work happy hour ,2009,4,1,2
1,1993731517,2009-06-01 10:50:37,@chriswalts dunno I lost interest and started tweeting new sarcasm. This Xbox press conference sure ain't an Apple keynote.  #e3,2009,6,0,10
1,2013302992,2009-06-02 22:21:24,just ate some cold watermelon ,2009,6,1,22
0,2069877932,2009-06-07 16:41:37, i swear to cheese &amp; crackers @songzyuuup is in Detroit like every 2 months &amp; i NEVER get to see him!  i swear this blows monkeyballs!,2009,6,6,16
1,1984763605,2009-05-31 15:45:38,@RenateBeate I agree ,2009,5,6,15
0,1690788353,2009-05-03 16:22:48,"so tired.. think i have the flu... the regular flu, not the piggy flu... ",2009,5,6,16
1,2052658824,2009-06-06 01:31:29,@jahdog707 That tofu looks amazing. I need to catch a flight to that restaurant right now!! ,2009,6,5,1
1,1983828783,2009-05-31 13:55:01,@kirstymciver Nu-uh! We're not recording her. You're coming with us!! ,2009,5,6,13
1,1968353851,2009-05-29 21:15:48,@sethcaleb only you would do something stupid like that... Ur an official dork ,2009,5,4,21
0,1957329181,2009-05-29 00:10:24,@TerrenceJ106 I'm with you...been up till 5-6 for the last few nights... ,2009,5,4,0
0,2046848425,2009-06-05 12:46:52,the best cajun place here is closing down at the end of this week ,2009,6,4,12
1,1984763224,2009-05-31 15:45:36,"Went out for fondue with Mel and Kristin  Now home, writing, and getting ready to grill teriyaki steaks ",2009,5,6,15
0,2245337703,2009-06-19 15:59:37,@cocolowecoco If I would have found this out this morning. I would be in Toronto right now. ,2009,6,4,15
1,1976304249,2009-05-30 17:02:12,eeeep! so many new clothes for next year all on sale. ,2009,5,5,17
0,2065712063,2009-06-07 09:08:35,got declined for her access to learning grant ,2009,6,6,9
1,1834632429,2009-05-18 03:40:08,Onlinee! ,2009,5,0,3
0,2326514561,2009-06-25 07:08:39,@_scene_queen_  haha lucky!  OMG my lover is in the hospital. ,2009,6,3,7
1,1978107059,2009-05-30 22:27:37,"@CateP36 yes, U have eyes that are very penetrating! Bet Ur smile is awesome 2. Prob 2powerful 2show &amp; that's why U hide it LOL ",2009,5,5,22
0,1972445365,2009-05-30 09:14:20,Sitting in the garden revising and I'm b o r e d ,2009,5,5,9
1,2016053743,2009-06-03 06:04:36,@rizwaniqbal or a kid. ,2009,6,2,6
1,2065678846,2009-06-07 09:04:47,@GeoDAWG no! One iPhone is enough Apple stuff for me ,2009,6,6,9
0,2050691953,2009-06-05 19:07:28,@ThePlumeNoir   No lousy weekend dammmit. You're not allowed.,2009,6,4,19
0,2297395080,2009-06-23 10:23:21,@HollyM432  I not want to break you Honey... ,2009,6,1,10
1,2060083545,2009-06-06 18:13:29,The view from our seats at MinuteMaid Park...we paid 7 bucks a pop  http://yfrog.com/ekuv0j,2009,6,5,18
1,1553523731,2009-04-18 14:29:53,Thank you everyone who showed up last night at the show!!! You guys are awesome!!! I had a blast! ,2009,4,5,14
0,2058898013,2009-06-06 15:50:52,"@_J_A_M_E_S_ hmmmm but lately there were so much: playboy, blender, penthouse now i dont here from such things ",2009,6,5,15
1,2055165009,2009-06-06 08:49:16,@SicilyYoder Better day Sic. How r u 2day? Quest: what is the difference between Amish &amp; Hutterites?  We have hutterites but no Amish! ,2009,6,5,8
1,1831221485,2009-05-17 18:27:21,@Requena86 how long have you known me?  when have you ever seen me get sick?  its one of my abilities ,2009,5,6,18
1,2070954681,2009-06-07 18:35:01,Next to Normal performance now! ,2009,6,6,18
0,1553263824,2009-04-18 13:48:14,bout to leave but dont want to leave my new music set up ,2009,4,5,13
1,1557821431,2009-04-19 06:09:16,Listening to the band ROCK out the Four Tops &quot;I'll Be There.&quot; Dyrel is amazing!!  ,2009,4,6,6
0,2326769953,2009-06-25 07:29:18,@ernmander we had a server meltdown last night  new hardware needed today.... mostly sorted now #thrushthursday,2009,6,3,7
0,1795751505,2009-05-14 08:18:31,cba to move ,2009,5,3,8
0,1792044744,2009-05-13 21:56:37,@Jrswim I miss you ,2009,5,2,21
1,1753693995,2009-05-10 02:57:08,"@sexysapphire Thanks, I love it ",2009,5,6,2
1,1827980327,2009-05-17 11:50:44,made dinner on the gril for a bunch of friends last night for @robinbrunelle 's going away party. Made me feel so good ,2009,5,6,11
1,2018256796,2009-06-03 09:40:58,"@DewiAndita congratz. Thats gonna be the most unforgetable party,bb ",2009,6,2,9
0,1685301826,2009-05-02 23:49:23,@alitherunner @TLM26 that makes 3 of us. ,2009,5,5,23
0,2224462952,2009-06-18 09:31:56,@purpleconverse well... I dont like yours either ,2009,6,3,9
1,1573111336,2009-04-20 23:45:57,"Wait a second...Have you guys seen our video commercial yet??  If not, check it out at http://TwitPWR.com/cx5/  POO! ",2009,4,0,23
0,1688000534,2009-05-03 10:06:12,@TheCheshire :O I want pancakes!   ,2009,5,6,10
1,1694312434,2009-05-04 02:02:57,@indiekuri you tell us ,2009,5,0,2
